beer_name,brewery,ba_score,ranking,reviews,ratings,pdev,wants,gots,trade,location,style,alcohol,availability,note_desc
Raised By Wolves,Right Proper Brewing Company - Shaw Brewpub,3.88,"#15,278",16,111,9.28%,1,23,0,District of Columbia,American Pale Ale (APA),5.00%,Rotating,"
Juicy, Hoppy, Fruity. A medium-bodied, aromatic, dry-hopped pale ale. Not quite an India pale ale, nor a typical American pale ale, we brew Raised by Wolves to highlight the rich flavors and aromas of hops rather than their bitterness. This beer has aromas reminiscent of lush tropical, citrus and stone fruits with a juicy body that you can sink your teeth into."
Demiurge,Hudson Valley Brewery,4.66,-,4,15,4.72%,1,0,0,New York,New England IPA,8.00%,Limited (brewed once),"
No notes at this time."
Aeroplane,Kansas Territory Brewing Company,3.48,"#36,242",3,18,8.05%,0,3,0,Kansas,American Pale Ale (APA),5.70%,Year-round,"
No notes at this time."
Bale,Aslin Beer Company,4.58,-,5,17,6.33%,4,0,0,Virginia,American Imperial Stout,13.50%,Limited (brewed once),"
No notes at this time."
Milk Man Milk Stout,Confluence Brewing Company,4.06,"#8,741",4,26,9.36%,0,10,0,Iowa,English Sweet / Milk Stout,5.60%,Rotating,"
No notes at this time."
Fruit Stand - Sweet Cherry,Casey Brewing & Blending,4.22,"#2,461",5,90,7.11%,62,9,0,Colorado,Belgian Saison,5.50%,Rotating,"
No notes at this time."
Coffee Compensation,Lion Bridge Brewing Company,4.29,"#6,698",2,10,4.43%,0,1,0,Iowa,English Dark Mild Ale,4.70%,Rotating,"
No notes at this time."
Uerige Doppelsticke,Uerige Obergärige Hausbrauerei,4.1,"#4,176",438,680,11.22%,92,49,3,Germany,German Altbier,8.50%,Rotating,"
No notes at this time."
Dag & Dauw,Brouwerij De Molen,3.81,"#22,100",4,13,10.76%,0,2,0,Netherlands,American IPA,7.10%,Rotating,"
No notes at this time."
Society & Solitude #5,Hill Farmstead Brewery,4.55,#94,182,"1,537",6.15%,441,162,0,Vermont,New England IPA,8.10%,Rotating,"
Our experimental Double IPA series continues."
Resin,Sixpoint Brewery,4.12,"#3,577",915,"4,905",10.19%,282,"1,313",11,New York,American Imperial IPA,9.10%,Year-round,"
RESIN slaps you with serious unfiltered dankness — sure it stings, but it feels so good at the same time. It’s hop candy up front, but drinks super clean for the size of the beer."
Derivative: Mosaic,Proclamation Ale Company,4.25,"#1,860",24,120,6.35%,6,27,1,Rhode Island,American Pale Ale (APA),6.00%,Year-round,"
No notes at this time."
A Paranormal Vibe,Burial Beer Co.,4.47,"#3,751",1,10,4.7%,2,1,0,North Carolina,American Imperial IPA,8.50%,Rotating,"
No notes at this time."
FDR,405 Brewing Co.,4.25,"#5,568",4,15,4.47%,3,8,0,Oklahoma,American Imperial Stout,11.00%,Rotating,"
No notes at this time."
Schneider Weisse Tap X Aventinus Cuvée Barrique,Weisses Bräuhaus G. Schneider & Sohn GmbH,4.04,"#6,396",75,258,11.63%,28,60,3,Germany,German Weizenbock,9.50%,Rotating,"
TAP6 Aventinus and Aventinus Eisbock mature for several months in French Oak Chardonnay barrels before they are united to an uncomparable [sic] cuvée."
Oude Tart - Cherries,Bruery Terreux,4.42,#322,97,"1,198",7.69%,477,243,41,California,Flanders Red Ale,8.80%,Rotating,"
Oude Tart is a Flemish-Style Red Ale aged in red wine barrels for up to 18 months. This version has had cherries added for the final stages of barrel aging. It's pleasantly sour with hints of leather, tangy dark fruit, plump cherries and toasty oak. While the base beer is one of the more classic styles that we make, it's not a style that you can find too often in the United States. Originating in style from the Flanders region of Belgium, near the French border, this dark, sour ale has roots deep in brewing history and predates most of the ales that have become popular in contemporary culture. We're doing our best to keep the tradition alive by brewing and aging this beer here on the West Coast."
Holy Cow! Original Pale Ale,Big Dog's Draft House,3.73,"#26,104",16,32,10.19%,1,3,0,Nevada,American Pale Ale (APA),5.60%,Year-round,"
Our original GABF Gold Medal-winning recipe! Brewed in the tradition of early West Coast ales, it is light amber with a distinctive Northwest hop character."
Trillium / Cellarmaker - Escape Plan,Trillium Brewing Company,4.39,-,4,32,9.57%,0,5,1,Massachusetts,American Wild Ale,8.70%,Rotating,"
We learned that the Cellarmaker Brewing crew also like piña coladas while we were all getting caught in the rain together at this summer's Field Trip. Afterwards we got together to mix-up a cocktail-inspired beer perfect for planning your tropical getaway. Escape Plan draws inspiration from some of our favorite Tiki drinks, known for their vibrant mix of fresh juices, layered flavors, and tropical accents."
Chocolate Rye Porter,River Dog Brewing Co.,3.97,"#11,338",5,41,13.1%,1,3,0,South Carolina,American Porter,5.50%,Winter,"
No notes at this time."
Green Cow IPA,Cervejaria Seasons,3.92,"#17,290",2,12,11.22%,0,5,0,Brazil,American IPA,6.20%,Year-round,"
No notes at this time."
World At Large,Beer'd Brewing Co.,4.14,"#4,043",10,87,7%,3,14,0,Connecticut,American Pale Ale (APA),6.00%,Rotating,"
No notes at this time."
Pudding Goggles,Forager Brewing Company,4.37,"#1,597",10,35,6.41%,5,2,0,Minnesota,American Imperial Porter,10.30%,Rotating,"
Imperial porter with coconut and cinnamon added"
Niner Bock,Roosters Brewing Company and Restaurant,3.83,"#21,245",3,12,5.22%,0,6,0,Utah,German Bock,9.00%,Spring,"
No notes at this time."
Hirsch Bavarian-Weissbier Hefeweisse,Der HirschBrau/Privatbrauerei Höss,3.93,"#12,111",75,110,12.21%,14,7,0,Germany,German Hefeweizen,4.70%,Year-round,"
No notes at this time."
Mary Ann's Ginger Spice,Grey Sail Brewing of Rhode Island,3.99,"#14,674",1,11,6.02%,1,3,0,Rhode Island,Winter Warmer,not listed,Rotating,"
No notes at this time."
Zzzlumber (Barrel-Aged),Proclamation Ale Company,4.13,"#5,278",10,44,11.14%,9,4,0,Rhode Island,Russian Imperial Stout,11.00%,Year-round,"
Imperial Stout aged in bourbon and whisky barrels with cacao, vanilla, coffee beans, cinnamon sticks and licorice"
Devil Over A Barrel Bourbon Barrel-Aged Imperial Coffee Oatmeal Porter,Tyranena Brewing Company,4.29,"#1,086",286,578,8.16%,298,40,3,Wisconsin,American Imperial Porter,8.00%,Rotating,"
Imperial Oatmeal Porter. 60% Porter brewed with coffee beans and aged in bourbon barrels blended with 40% Porter brewed with coffee beans."
Maman,Perennial Artisan Ales,4.6,#69,38,299,8.26%,248,34,2,Missouri,American Imperial Stout,11.50%,Rotating,"
Aged for 18 to 20 months in Rittenhouse Rye barrels before blending."
Rustic Pentagram,Tired Hands Brewing Company,4.26,"#2,707",5,41,6.1%,4,3,1,Pennsylvania,Belgian Saison,6.90%,Rotating,"
Sour Mango Saison. Brewed with Wheat. Hopped with Amarillo. Fermented in one of our large French oak foudres. Conditioned atop freshly made mango purée."
Raspbarrel,American Solera,4.49,#466,7,54,4.45%,16,16,2,Oklahoma,American Wild Ale,not listed,Rotating,"
Raspbarrel is a sour ale aged on whole raspberries. It's produced by filling two of our barrel fermenters with 200lbs of raspberries each. We then fill the barrel with sour golden ale. Once fermentation kicks in, a series of punch downs is done to get as much raspberry flavor into the beer as possible."
Pineapple Upside Down Cake,New Orleans Lager & Ale Brewing Company (NOLA),3.94,-,1,11,5.33%,0,0,0,Louisiana,American Imperial IPA,7.60%,Limited (brewed once),"
No notes at this time."
Le Terroir,New Belgium Brewing,4.29,"#1,025",507,"2,434",9.32%,488,473,26,Colorado,American Wild Ale,7.50%,Rotating,"
A sour beer barrel-aged for two years and then dry-hopped with Amarillo and Cascade hops for 8 days."
Cassis Du Fermier,Side Project Brewing,4.46,"#1,270",4,26,4.93%,4,1,0,Missouri,Belgian Saison,8.00%,Rotating,"
Wine Barrel fermented saison aged with black currants."
Rhyme Animal,Pulpit Rock Brewing Company,4.33,"#1,958",2,36,7.62%,0,2,0,Iowa,American Imperial IPA,8.00%,Rotating,"
No notes at this time."
Sexual Fluctuation,Equilibrium Brewery,4.47,-,9,58,6.04%,6,7,0,New York,American Imperial IPA,8.00%,Limited (brewed once),"
Collab with District 96 Beer Factory. Sexual Fluctuation is a Citra/Galaxy blend. It pours a hazy tangerine orange and releases releasing aromas of passion fruit, peach, lime, and pineapple all integrated with a juicy twist. The taste is a bright creamy tropical sorbet flavor that is dangerously drinkable and balanced. This beer takes dHop5’s lunch money and gives it a wedgie."
Coolship Resurgam,Allagash Brewing Company,4.43,#300,100,845,7.45%,704,208,28,Maine,American Wild Ale,6.30%,Rotating,"
Coolship Resurgam is a blend of both old and young unfruited spontaneous beer. The name comes from the motto of our fair city, Portland, Me. It means ""I shall rise again"". Coolship Resurgam won a Silver medal at the 2010 GABF."
Obligatory,Transient Artisan Ales,4.32,"#1,424",19,69,5.56%,8,7,0,Michigan,New England IPA,6.50%,Rotating,"
No notes at this time."
Tripel Star,Tennessee Brew Works,4.16,"#8,729",2,12,17.79%,0,3,0,Tennessee,Belgian Tripel,9.00%,Rotating,"
No notes at this time."
Wood'r,RAR Brewing (Realerevival),4.33,"#5,000",3,12,3.46%,0,1,0,Maryland,American Pale Wheat Ale,5.90%,Rotating,"
No notes at this time."
Bbbrighttt W/ Citra,Tree House Brewing Company,4.43,-,14,96,5.42%,2,15,0,Massachusetts,American Imperial IPA,7.80%,Rotating,"
BBBrighttt w/ Citra was created to be an intense yet elegant showcase for one of our favorite hops - CITRA! It builds upon the base beer resulting in an amplified flavor profile as a function of additional kettle and dry hopping from the base recipe. It is an intense and fruity concoction that tastes much like fresh squeezed orange juice. We find it to be tremendously drinkable in spite of its stature, and we believe it is the perfect beer for those in search of intense flavor and supreme refreshment. It's everything a Double IPA should be! Enjoy!"
DDH Chief Of Chiefs,Bearded Iris Brewing,4.35,"#1,297",11,57,5.29%,5,3,0,Tennessee,American Imperial IPA,7.50%,Rotating,"
DIPA double dry hopped with Mosaic, Citra, & Simcoe"
Anosteke Brune,La Brasserie du Pays Flamand,3.87,"#19,871",2,10,7.49%,0,1,0,France,Russian Imperial Stout,8.50%,Year-round,"
No notes at this time."
Mini Growler,Westbrook Brewing Co.,4.1,"#4,327",55,319,9.02%,40,70,11,South Carolina,Russian Imperial Stout,10.50%,Rotating,"
Collaboration with Evil Twin"
Shock Top Belgian White,Anheuser-Busch,2.96,"#44,122",912,"3,988",23.31%,56,"1,112",0,Missouri,Belgian Witbier,5.20%,Year-round,"
Originally known as Spring Heat Spiced Wheat"
Imperial IPA,Boundary Bay Brewery & Bistro,4.2,"#3,028",29,73,8.81%,33,1,0,Washington,American Imperial IPA,9.00%,Year-round,"
No notes at this time."
Piety,New Orleans Lager & Ale Brewing Company (NOLA),4.22,"#2,575",11,78,6.64%,4,12,2,Louisiana,American Wild Ale,4.00%,Rotating,"
Cherry sour aged in red wine barrel"
Zangief,Voodoo Brewery,4.58,-,4,25,4.59%,12,4,2,Pennsylvania,American Imperial Stout,14.60%,Limited (brewed once),"
No notes at this time."
Black Malts And Body Salts,To Øl,4.18,"#2,763",49,185,8.13%,20,35,2,Denmark,American Black Ale,9.90%,Rotating,"
No notes at this time."
668 Chardonneighbor Of The Beast,New England Brewing Co.,4.34,"#1,148",15,81,9.45%,156,20,0,Connecticut,American Wild Ale,10.00%,Rotating,"
Our infamous 668 Belgian Strong Golden Ale was aged in Chardonnay barrels with a touch of Brettanomyces to bring you this limited run bottle. Goat Lord Approved! One of only three hundred bottles."
Dunley Place,Aslin Beer Company,4.41,#614,23,97,7.26%,23,4,0,Virginia,New England IPA,8.00%,Rotating,"
No notes at this time."
Double Dobis,Cellarmaker Brewing Co.,4.45,#349,23,153,6.52%,33,21,2,California,American Imperial IPA,8.50%,Rotating,"
No notes at this time."
Imperial Biscotti Chili Hazelnut Break,Evil Twin Brewing,4.35,#664,81,510,6.21%,81,95,10,New York,American Imperial Stout,11.50%,Rotating,"
Imperial stout brewed with coffee and chili with hazelnut and vanilla extracts added."
Biloxi Beach Blonde,Biloxi Brewing Company,3.52,"#36,152",9,29,8.52%,0,12,0,Mississippi,German Kölsch,not listed,Year-round,"
No notes at this time."
Triangle Test with T-90 Citra,Other Half Brewing Co.,4.4,-,4,41,5.91%,0,4,0,New York,American Imperial IPA,8.00%,Rotating,"
Brewed in collaboration with Trillium. Triangle Test Imperial IPA with T-90 Citra (8.0%) is brewed with Golden Promise malt and 30% flaked oats. It’s hopped 100% with Citra T-90 and receives 2 dry hop additions. T-90 pellets are made by taking whole hops and milling them to powder before reforming them into pellets which retains roughly 90% of the original hop material."
Gordelícia (regular Version),Cervejaria Urbana,3.65,"#29,040",2,12,9.59%,1,1,0,Brazil,Belgian Strong Pale Ale,7.50%,Year-round,"
No notes at this time."
Noche Buena,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",3.35,"#41,612",95,221,17.91%,16,27,0,Mexico,German Bock,5.90%,Winter,"
No notes at this time."
Cloud Drop,Upper Pass Beer Company,4.33,#980,31,151,6.47%,19,36,0,Vermont,New England IPA,8.00%,Rotating,"
No notes at this time."
Seal Team 6 Black IPA,Wichita Brewing Co. & Pizzeria West,4.06,"#9,476",7,21,8.87%,0,4,0,Kansas,American IPA,8.50%,Rotating,"
Seal Team 6 Black IPA is a dark and robust ale that has subtle roast character with chocolate notes and assertive hopping."
Surette Reserva Prunus Persica,Crooked Stave Artisan Beer Project,4.28,"#2,254",11,46,4.91%,1,6,1,Colorado,American Wild Ale,6.20%,Rotating,"
Golden sour ale aged in oak barrels with peaches"
Galaxie Saison,Brewfist,4.02,"#10,277",6,26,9.2%,0,5,0,Italy,Belgian Saison,7.60%,Rotating,"
No notes at this time."
Cantillon 50 Degrees North-4 Degrees East (Armagnac Barrel Aged),Brasserie Cantillon,4.61,-,1,13,4.12%,4,3,0,Belgium,Belgian Gueuze,not listed,Limited (brewed once),"
No notes at this time."
Double Duckpin,Union Craft Brewing Company,4.26,"#1,384",114,593,7.75%,87,139,2,Maryland,American Imperial IPA,8.50%,Rotating,"
No notes at this time."
"Smuttynose IPA ""Finest Kind""",Smuttynose Brewing Company,4.1,"#4,050","1,855","5,358",11.71%,348,"1,227",4,New Hampshire,American IPA,6.90%,Year-round,"
You could say, then, that Smuttynose IPA is a physical salute to the glory of the American hop grower. The citrusy hop flavor coming from a mixture of Simcoe and Santiams is pleasantly balanced by a smooth bitterness from the Amarillo hops. The beer itself is light bodied and crisp with a golden color that will throw a slight haze, as we bottle it unfiltered. At 75 IBU's, this is definitely not a training-wheels IPA, but is meant for hop lovers looking to satisfy their craving in a way that's not easy to find. We think they’ll be quite pleased."
Solstice D'été Aux Framboises,Brasserie Dieu du Ciel!,4.26,"#1,438",92,392,7.75%,185,50,3,Quebec,Berliner Weisse,5.90%,Summer,"
German inspired sour wheat beer. The obvious and domineering acidity of this beer is obtained by letting the unboiled wort go sour for several days. The Solstice d’Été is made complete by the addition, during the fermentation process, of a phenomenal quantity of whole fruit (raspberries or mangos or cherries) which compensate for the sourness of the beer. The result is a very refreshing beer where both acidity and fruity flavours dominate wholeheartedly."
Miller Genuine Draft 64,Miller Brewing Co.,1.6,"#44,951",13,279,41.25%,4,57,0,Wisconsin,American Light Lager,3.00%,Year-round,"
No notes at this time."
Lord Lupulin,Revision Brewing Company,4.14,-,17,42,6.52%,1,2,0,Nevada,American IPA,6.50%,Rotating,"
Introducing the high priest of hops , the hero of humulus lupulus, the sultan of strig, the brahma of bracteole…Here comes Lord Lupulin! Featuring our hoppy friends Galaxy, Vic Secret, El Dorado and Citra."
Black Lightning 2xIPA,Core Brewing & Distilling Co.,3.96,"#14,689",3,15,8.59%,1,2,0,Arkansas,American Black Ale,8.50%,Rotating,"
No notes at this time."
No Depression,Right Proper Brewing Company - Shaw Brewpub,3.76,"#24,345",5,30,7.18%,0,3,0,District of Columbia,German Altbier,5.40%,Rotating,"
No notes at this time."
Yeah You Know Me,Magnify Brewing Company,4.4,-,4,17,8.18%,1,1,0,New Jersey,American Imperial Stout,15.00%,Limited (brewed once),"
Yeah You Know Me is a massive 15% Imperial Stout brewed in collaboration with Kyle from Horus Aged Ales. Our goal was to make a thick, fudgey imperial stout. We started with a double mashed imperial stout base. Post fermentation we added the most insane coffee we could find. This single origin coffee from the Fazenda Santa Ines farm in Brazil had cocoa nibs and almonds added to it while roasting. As a result, the coffee imparted deep cocoa and nutty aromas into this beer."
Bière De Mars,Right Proper Brewing Company - Shaw Brewpub,4.33,"#5,443",3,11,6.47%,0,3,0,District of Columbia,Belgian Saison,5.40%,Spring,"
No notes at this time."
Framiscus,de Garde Brewing,4.46,#497,5,67,8.97%,25,17,2,Oregon,American Wild Ale,6.20%,Rotating,"
A wild ale aged in wine barrels, with raspberries and hibiscus."
Wood-Aged Bitches Brew,Dogfish Head Craft Brewery,4.04,"#6,397",79,254,7.67%,6,53,2,Delaware,American Imperial Stout,9.00%,Rotating,"
A fusion of a Russian Imperial Stout aged in American oak and an Ethiopian Tej Honey Beer aged in Paraguayan Palo Santo Wood"
Paniolo Pale Ale,Big Island Brewhaus & Tako Taco Taqueria,3.86,"#19,020",1,18,10.88%,0,0,0,Hawaii,American Pale Ale (APA),5.70%,Rotating,"
No notes at this time."
Dark Metal,Birrificio Indipendente Elav,3.87,"#17,750",7,26,7.75%,1,3,0,Italy,American Imperial Stout,8.50%,Year-round,"
No notes at this time."
Double Dry Hopped Melcher Street,Trillium Brewing Company,4.51,#136,160,"1,241",5.99%,158,209,1,Massachusetts,New England IPA,7.20%,Rotating,"
Our Double Dry Hopped version of Melcher Street; this amped up American IPA features a heavy dose of Mosaic hops. The spicy, resinous, herbal aroma bursts with nuances of tart citrus, tangerine, clementine, and subtle green onion. Bold flavors of under-ripe melon, cantaloupe rind, and pineapple are highlighted with gentle bitterness and delicate, biscuity malt character. "
Spotted Cow,New Glarus Brewing Company,3.75,"#25,190",850,"3,726",13.33%,288,"1,127",26,Wisconsin,American Cream Ale,4.80%,Year-round,"
No notes at this time."
Double Barrel Black Maple,Jackie O's Pub & Brewery,4.45,-,3,12,3.6%,5,1,0,Ohio,American Imperial Porter,15.00%,Limited (brewed once),"
No notes at this time."
Juice Machine,Tree House Brewing Company,4.68,#17,137,769,7.05%,669,183,0,Massachusetts,New England IPA,8.20%,Rotating,"
Juice Machine was originally devised and brewed to support our very first trip to Extreme Beer Festival in 2014. We’ve revived and tweaked the original recipe on a 30 BBL scale and brought new life and experience into the idea of an obscenely hop saturated yet juicy and delicate Double IPA. It is essentially a marriage of the King Julius malt bill with a hopping intensity schedule similar to that of Very Green. The use of Magnum, Columbus, Amarillo, Citra, and Galaxy creates perhaps our most complex drink with unapologetic flavors of tangerine, mango, lime, papaya, and grapefruit with waves of dankness. Hop burp nirvana, indeed."
Kon-Tiki,Austin Street Brewery,4.35,"#1,594",8,41,6.67%,7,9,0,Maine,American IPA,7.20%,Rotating,"
Kon-Tiki is our hop forward, tropical IPA. We load this beer with plenty of Australian hops to give us flavors of pineapple, over-ripe melon, and a spicy finish. We keep the malt bill light in order to let the hops really shine through."
Re Ale Extra,Birra Del Borgo,3.91,"#12,885",76,213,10.49%,7,27,1,Italy,American IPA,6.20%,Rotating,"
No notes at this time."
See You In Helles,Snake River Brewing Company & Brewpub,3.74,"#25,373",5,17,4.81%,0,0,0,Wyoming,German Helles,4.70%,Year-round,"
Helles is the German word for light-colored and perfectly describes this lager beer which is full bodied and lightly hopped. Pilsner and aromatic malts combine to give it a light golden color. Just like the Bavarian Helles beers of Munich, it uses the hop varieties of southern Germany. The alcohol content is 4.7%. See you in Helles is the signature beer of Mark Spilker."
Genealogy Of Morals (Bourbon Barrel Aged),Hill Farmstead Brewery,4.51,#151,70,638,6.43%,468,100,15,Vermont,American Imperial Stout,10.70%,Rotating,"
Aged in a mixture of Van Winkle and Buffalo Trace barrels."
Pudgy,Pulpit Rock Brewing Company,4.41,"#2,985",5,15,6.12%,14,2,0,Iowa,American Imperial Stout,11.30%,Rotating,"
Nitro imperial stout aged on 4 different kinds of vanilla beans."
Olde Rabbit's Foot,Foothills Brewing Company - Downtown Brewpub,4.32,#884,120,397,11.57%,405,122,10,North Carolina,American Imperial Stout,10.13%,Rotating,"
2010-2012, 2017 were brewed at Foothills Brewing. 2009 at Olde Hickory."
SpontanCherryFrederiksdal,Mikkeller ApS,4.07,"#5,473",37,193,9.83%,2,29,2,Denmark,Belgian Fruit Lambic,8.20%,Rotating,"
No notes at this time."
Speedway Stout - Cinnamon Vanilla - Bourbon Barrel-Aged,AleSmith Brewing Company,4.51,-,3,18,2.66%,2,8,1,California,American Imperial Stout,13.00%,Limited (brewed once),"
No notes at this time."
Kloster Kreuzberg Dunkel,Kloster Kreuzberg,4.56,"#1,074",6,19,10.09%,16,4,0,Germany,Munich Dunkel Lager,5.40%,Year-round,"
No notes at this time."
St. Bretta (Summer) Citrus Wildbier Batch 3 Tango Mandarin,Crooked Stave Artisan Beer Project,4.31,"#1,683",8,56,6.73%,12,8,0,Colorado,American Brett,5.50%,Summer,"
No notes at this time."
Eighty Shilling Scotch Ale,Morgantown Brewing Company,3.58,"#34,085",4,33,14.53%,1,6,0,West Virginia,Scotch Ale / Wee Heavy,4.90%,Year-round,"
No notes at this time."
Reno As Fuck,Revision Brewing Company,4.24,-,10,43,4.72%,0,6,0,Nevada,American Imperial IPA,8.40%,Limited (brewed once),"
Embracing the no-holds-barred, pure, dirty, clean, crass culture of the greatest place in the world, this beer is a reflection of the city it was born in. It's real, down-to-earth and unfiltered. You don't buy this beer, you earn this beer. This beer is Reno as Fuck. www.renoasfuck.com"
Single Shot - Brazil Cerrado,Tree House Brewing Company,4.49,-,8,51,5.57%,3,9,1,Massachusetts,English Sweet / Milk Stout,6.40%,Limited (brewed once),"
Single Shot is a decadent yet balanced milk stout that we use as a base to impart bold and varied coffee flavors from hand selected beans on a varying basis. This particular batch was brewed with coffee beans from Brazil. It exhibits notes of dark chocolate, dark fruit, and toasted marshmallows - a unique and intriguing showcase of beans, for sure. Single Shot is exceptionally creamy on the palate while maintaining a lightness that leaves you wanting more… a true treat in the can paired with the embrace of a summer campfire. When kept cold at all times in the can it should be great until Autumn."
Racer 5 India Pale Ale,Bear Republic Brewing Co.,4.19,"#2,189","2,361","7,828",9.55%,366,"1,486",9,California,American IPA,7.50%,Year-round,"
This hoppy American IPA is a full bodied beer brewed with American pale and crystal malts, and heavily hopped with Chinook, Cascade, Columbus and Centennial. There's a trophy in every glass."
Barrel Aged Coconut Absentium,Scofflaw Brewing Company,4.45,"#2,995",3,13,5.39%,4,2,0,Georgia,American Imperial Stout,not listed,Rotating,"
No notes at this time."
Imperial Red Ale,Epic Brewing Company,3.73,"#26,433",42,139,13.67%,5,17,0,Utah,American Imperial Red Ale,7.70%,Rotating,"
A boldly flavored double red ale. Combining caramel malt for sweetness mixed with nice alcohol and plenty of dry and late kettle hop aromas from three killer America strains create a beer that is tough to compare."
Nobo Hazy IPA,Monument City Brewing Company,4.21,"#5,539",3,19,6.41%,0,1,0,Maryland,New England IPA,6.50%,Rotating,"
No notes at this time."
Wailua Wheat,Kona Brewing Co.,3.35,"#41,785",396,"1,060",16.72%,27,135,1,Hawaii,American Pale Wheat Ale,5.40%,Spring,"
Swimming in a fresh water pool at the base of a cascading waterfall is what we all imagine we would find in paradise. On Maui, follow the old Hana Highway and you will find such a place – Wailua Falls. This plunging cascade of clear water is the inspiration for our Limited Release Wailua Wheat Ale. This golden, sun colored ale has a bright, citrus flavor that comes from the tropical passion fruit we brew into each batch. Sit back, relax and enjoy paradise anytime."
Mood Ring w/ Raspberries,Bearded Iris Brewing,4.31,-,7,16,6.5%,1,0,0,Tennessee,American Imperial IPA,8.50%,Limited (brewed once),"
Double IPA with raspberries, lactose & hopped with Mosaic, Citra, & Vic Secret."
Brotherton IPA,Brotherton Brewing Company,4.18,"#3,660",15,57,7.89%,0,20,0,New Jersey,American IPA,6.70%,Rotating,"
Brotherton IPA is golden hop magic in liquid form. This beer is named for its insanely juicy and intense hop flavors. As with all of our hop-driven beers, Brotherton IPA is gloriously unfiltered to retain every drop of hop goodness we've put so much effort into creating. This IPA delivers pure hop character for your sensory pleasure. Dry-hopped profoundly with Citra hops, this beer drips with notes of lychee, tropical citrus, and deep dank hop character."
Big Gye Rye,Arizona Wilderness Brewing Co.,4.17,"#4,910",4,32,8.39%,3,3,0,Arizona,American Imperial IPA,7.50%,Rotating,"
No notes at this time."
Why Go Hard When You Can Go Home?,Barrel Theory Beer Company,4.38,-,3,16,3.88%,1,1,0,Minnesota,American Imperial IPA,not listed,Rotating,"
No notes at this time."
J.R.E.A.M. - Blackberry Cobbler,Burley Oak Brewing Co.,4.52,-,2,14,3.32%,3,1,1,Maryland,American Wild Ale,4.80%,Rotating,"
Blackberry, cinnamon, vanilla sour ale with lactose."
Mosaic + Motueka DIPA,Other Half Brewing Co.,4.39,#812,9,77,4.78%,5,11,0,New York,American Imperial IPA,8.50%,Rotating,"
Mosaic + Motueka Imperial IPA (8.5%) is brewed with equal amounts of both hops. One of our favorite combos."
Hurricane Malt Liquor,Anheuser-Busch,2,"#44,922",82,244,40%,8,37,0,Missouri,American Malt Liquor,5.90%,Year-round,"
Hurricane Malt Liquor is full-bodied and robust and offers a smooth, slightly fruity and slightly sweet taste."
Bleuet Du Fermier,Side Project Brewing,4.46,#441,9,79,5.16%,35,20,4,Missouri,Belgian Saison,8.00%,Rotating,"
Bleuet du Fermier is our delicate and aromatic Saison du Fermier aged with blueberries in French Oak wine barrels. The brightness, depth, and rustic character are created by the wild yeast native to our family's Missouri farm. This Blueberry Saison was fermented in and aged in wine barrels for several months."
Ramstein Winter Wheat,High Point Brewing Company,4.16,"#3,000",244,308,12.02%,115,9,0,New Jersey,German Weizenbock,9.50%,Winter,"
Rich creamy head with bouquet of Wheat malt, black current, clove, and apple. Deep full flavors of caramel and chocolate malt balance with hops for a smooth warming character. Smooth malt leads to a subtle alcohol and dark caramel finish. The wonderful balance of this beer provides a complex profile hiding the 9.5% alcohol content. The perfect companion for a cold winter night."
Momma RYE IPA,Bridge Brew Works LLC,3.84,"#19,315",9,31,8.85%,0,3,0,West Virginia,American IPA,7.30%,Rotating,"
This is a commemorative beer brewed for Nathan's mother whose maiden name is Rye. Angie Rye passed away on May 10, 2010 from ovarian cancer. Mom was an amazing lady who was a literature teacher, poet and artist; she 'lived life out loud.' Proceeds from Momma Rye IPA will help fight and bring awareness to ovarian cancer. Thank you for your support and together we can hope for a cure."
Bellerose Biere Blonde Extra,Brasserie des Sources,3.86,"#16,624",34,125,10.62%,11,21,0,France,French Bière de Garde,6.50%,Year-round,"
No notes at this time."
Fernson Farmhouse Ale,Fernson Brewing Company,3.45,"#38,301",11,32,17.97%,2,6,0,South Dakota,Belgian Saison,4.50%,Year-round,"
Good things come to those who wait. For Belgian farmers, it was the beer they brewed over the long winter months to produce a refreshing Saison for their seasonal workers to enjoy. Our Farmhouse Ale pays tribute to those innovators, who rewarded their farm hands with up to 5 liters for a day’s work. Light, crisp, and semi-tart, this Farmhouse Ale will please your palate."
Breakfast Exorcism,Clown Shoes,4.42,#357,85,438,6.79%,229,64,7,Massachusetts,American Imperial Stout,11.00%,Rotating,"
The base beer is Undead Party Crasher (an imperial stout), aged in 16 rye barrels with Barrington Coffee Roasting Company espresso beans."
Rhinestone Life,Great Raft Brewing,4.01,-,3,15,7.23%,0,3,0,Louisiana,American IPA,7.00%,Rotating,"
No notes at this time."
Space Reaper,DC Brau Brewing Co.,3.97,"#10,136",22,92,14.61%,4,14,0,District of Columbia,American Imperial IPA,9.20%,Rotating,"
And so it is and it shall be... The end of one DIPA is the beginning of another. Somewhere between the world we know and the ones we don't lies the Space Reaper. Its cosmic might shines bright through the multiverse. This Double IPA may not unlock all the secrets of this universe, but it will show you what lies beyond the palate, with a generous reaping of mosaic hops, sure to take you on the ride of your afterlife."
Hoppelujah,Fitger's Brewhouse,4.28,"#2,140",7,50,8.18%,5,7,0,Minnesota,American IPA,6.90%,Rotating,"
No notes at this time."
